iter	Passed	Remaining
401	15916	75901
402	15957	75866
403	16006	75871
404	16062	75908
405	16106	75890
406	16148	75861
407	16190	75834
408	16245	75864
409	16305	75921
410	16349	75899
411	16394	75882
412	16435	75852
413	16481	75838
414	16522	75805
415	16563	75768
416	16606	75743
417	16651	75729
418	16698	75719
419	16742	75702
420	16787	75683
421	16827	75641
422	16877	75648
423	16921	75627
424	16975	75652
425	17019	75629
426	17058	75584
427	17099	75550
428	17141	75519
429	17185	75495
430	17226	75462
431	17268	75430
432	17316	75425
433	17361	75405
434	17413	75416
435	17454	75382
436	17494	75343
437	17537	75313
438	17576	75270
439	17617	75235
440	17669	75244
441	17711	75213
442	17751	75174
443	17792	75138
444	17831	75091
445	17875	75069
446	17928	75081
447	17971	75053
448	18008	75002
449	18046	74951
450	18089	74925
451	18133	74901
452	18174	74866
453	18218	74839
454	18261	74811
455	18312	74816
456	18368	74840
457	18414	74822
458	18458	74799
459	18502	74772
460	18554	74781
461	18606	74789
462	18654	74778
463	18704	74777
464	18746	74745
465	18787	74706
466	18830	74678
467	18872	74644
468	18917	74620
469	18957	74580
470	19001	74553
471	19041	74512
472	19086	74488
473	19124	74441
474	19177	74449
475	19220	74417
476	19260	74376
477	19311	74378
478	19348	74324
479	19397	74317
480	19452	74331
481	19507	74346
482	19552	74324
483	19598	74302
484	19635	74248
485	19672	74196
486	19721	74189
487	19763	74152
488	19799	74095
489	19847	74083
490	19890	74051
491	19935	74027
492	19985	74022
493	20033	74009
494	20086	74016
495	20136	74010
496	20182	73988
497	20227	73962
498	20267	73920
499	20304	73868
500	20344	73826
501	20396	73824
502	20456	73855
503	20499	73822
504	20541	73786
505	20581	73743
506	20627	73723
507	20669	73687
508	20715	73665
509	20759	73636
510	20805	73613
511	20851	73590
512	20898	73572
513	20948	73563
514	21001	73565
515	21048	73546
516	21091	73515
517	21139	73497
518	21180	73458
519	21222	73421
520	21259	73368
521	21300	73328
522	21342	73291
523	21389	73272
524	21427	73222
525	21466	73174
526	21511	73145
527	21557	73125
528	21607	73113
529	21653	73091
530	21691	73041
531	21738	73020
532	21782	72988
533	21827	72962
534	21868	72923
535	21911	72887
536	21957	72864
537	22004	72843
538	22053	72829
539	22098	72800
540	22145	72780
541	22189	72749
542	22231	72713
543	22275	72680
544	22316	72640
545	22358	72605
546	22403	72574
547	22457	72576
548	22499	72538
549	22542	72505
550	22582	72459
551	22635	72456
552	22674	72411
553	22725	72403
554	22776	72391
555	22815	72345
556	22857	72306
557	22902	72278
558	22954	72271
559	23004	72257
560	23042	72208
561	23081	72159
562	23122	72120
563	23165	72085
564	23205	72041
565	23253	72018
566	23298	71990
567	23352	71989
568	23399	71966
569	23451	71960
570	23494	71924
571	23539	71895
572	23585	71867
573	23631	71840
574	23678	71817
575	23719	71775
576	23773	71773
577	23813	71727
578	23854	71686
579	23899	71657
580	23945	71629
581	23992	71606
582	24041	71588
583	24089	71566
584	24143	71563
585	24183	71519
586	24226	71482
587	24264	71431
588	24313	71413
589	24356	71377
590	24401	71347
591	24446	71317
592	24491	71285
593	24533	71246
594	24576	71210
595	24619	71174
596	24659	71128
597	24705	71100
598	24752	71075
599	24797	71045
600	24842	71013
601	24882	70967
602	24923	70927
603	24966	70891
604	25008	70849
605	25047	70802
606	25092	70771
607	25130	70721
608	25173	70685
609	25210	70630
610	25248	70579
611	25293	70549
612	25338	70517
613	25383	70486
614	25430	70460
615	25470	70417
616	25511	70374
617	25557	70344
618	25599	70305
619	25642	70268
620	25678	70212
621	25715	70160
622	25769	70151
623	25809	70106
624	25854	70076
625	25895	70034
626	25943	70010
627	25988	69977
628	26033	69947
629	26074	69904
630	26115	69861
631	26156	69819
632	26211	69815
633	26254	69776
634	26305	69760
635	26353	69736
636	26393	69691
637	26429	69635
638	26465	69581
639	26510	69548
640	26567	69548
641	26611	69512
642	26659	69489
643	26704	69457
644	26747	69419
645	26794	69392
646	26839	69358
647	26880	69317
648	26924	69281
649	26962	69231
650	27002	69186
651	27043	69143
652	27083	69098
653	27127	69062
654	27176	69040
655	27229	69028
656	27270	68985
657	27318	68961
658	27358	68916
659	27405	68887
660	27449	68851
661	27491	68811
662	27527	68757
663	27575	68730
664	27616	68689
665	27661	68655
666	27712	68638
667	27757	68605
668	27803	68573
669	27849	68542
670	27894	68510
671	27935	68465
672	27978	68429
673	28026	68403
674	28072	68372
675	28113	68329
676	28162	68304
677	28202	68261
678	28245	68222
679	28291	68190
680	28346	68182
681	28395	68156
682	28445	68135
683	28487	68095
684	28537	68072
685	28596	68073
686	28638	68033
687	28678	67986
688	28720	67945
689	28763	67907
690	28812	67881
691	28851	67833
692	28894	67795
693	28949	67785
694	28990	67742
695	29038	67715
696	29082	67678
697	29129	67648
698	29169	67603
699	29212	67565
700	29254	67522
701	29298	67487
702	29340	67446
703	29393	67430
704	29441	67401
705	29489	67375
706	29528	67327
707	29585	67319
708	29637	67301
709	29683	67269
710	29731	67241
711	29777	67208
712	29820	67169
713	29865	67133
714	29906	67091
715	29953	67061
716	30000	67029
717	30040	66984
718	30092	66965
719	30148	66954
720	30192	66917
721	30239	66886
722	30279	66840
723	30323	66803
724	30370	66773
725	30408	66722
726	30453	66687
727	30494	66644
728	30542	66615
729	30585	66575
730	30633	66547
731	30681	66518
732	30725	66481
733	30764	66432
734	30813	66406
735	30858	66370
736	30905	66339
737	30952	66308
738	30992	66263
739	31037	66226
740	31086	66200
741	31131	66165
742	31177	66130
743	31225	66102
744	31265	66055
745	31304	66007
746	31349	65973
747	31395	65939
748	31436	65894
749	31474	65844
750	31515	65801
751	31557	65758
752	31604	65726
753	31647	65687
754	31692	65650
755	31733	65606
756	31771	65558
757	31813	65515
758	31859	65482
759	31903	65443
760	31945	65402
761	31983	65351
762	32030	65321
763	32074	65282
764	32116	65240
765	32159	65201
766	32212	65181
767	32269	65168
768	32324	65152
769	32363	65105
770	32400	65053
771	32445	65016
772	32487	64975
773	32542	64958
774	32589	64927
775	32631	64885
776	32674	64844
777	32725	64819
778	32765	64773
779	32811	64740
780	32866	64723
781	32909	64683
782	32949	64637
783	32991	64593
784	33036	64557
785	33077	64514
786	33121	64475
787	33164	64434
788	33206	64392
789	33247	64348
790	33298	64323
791	33351	64302
792	33396	64265
793	33439	64225
794	33491	64202
795	33540	64173
796	33582	64130
797	33630	64099
798	33672	64058
799	33717	64020
800	33766	63992
801	33811	63954
802	33854	63914
803	33893	63865
804	33936	63825
805	33983	63793
806	34023	63745
807	34068	63709
808	34109	63665
809	34159	63638
810	34204	63600
811	34243	63552
812	34292	63523
813	34335	63482
814	34379	63444
815	34423	63404
816	34467	63366
817	34512	63328
818	34553	63284
819	34592	63237
820	34635	63196
821	34679	63156
822	34724	63119
823	34766	63077
824	34813	63044
825	34857	63005
826	34898	62960
827	34939	62916
828	34982	62875
829	35023	62831
830	35071	62798
831	35116	62762
832	35159	62721
833	35204	62683
834	35248	62646
835	35289	62601
836	35330	62557
837	35371	62512
838	35417	62476
839	35463	62440
840	35507	62401
841	35556	62371
842	35600	62333
843	35645	62294
844	35686	62251
845	35726	62203
846	35763	62152
847	35801	62104
848	35850	62073
849	35891	62029
850	35937	61992
851	35985	61961
852	36037	61936
853	36081	61896
854	36120	61848
855	36164	61808
856	36202	61760
857	36244	61716
858	36284	61670
859	36322	61621
860	36360	61572
861	36400	61526
862	36444	61486
863	36491	61453
864	36529	61403
865	36566	61352
866	36607	61307
867	36653	61272
868	36707	61249
869	36751	61209
870	36801	61180
871	36848	61146
872	36889	61101
873	36930	61057
874	36968	61008
875	37005	60957
876	37048	60916
877	37090	60873
878	37133	60832
879	37170	60782
880	37214	60742
881	37265	60714
882	37311	60677
883	37358	60643
884	37403	60606
885	37445	60564
886	37492	60529
887	37531	60481
888	37578	60446
889	37622	60406
890	37673	60378
891	37714	60334
892	37758	60295
893	37801	60253
894	37846	60216
895	37888	60173
896	37934	60136
897	37977	60095
898	38020	60055
899	38058	60005
900	38095	59955
901	38142	59920
902	38191	59888
903	38242	59859
904	38291	59827
905	38340	59795
906	38392	59768
907	38443	59739
908	38486	59698
909	38538	59670
910	38575	59621
911	38624	59588
912	38668	59548
913	38712	59508
914	38759	59474
915	38801	59431
916	38846	59392
917	38898	59365
918	38950	59336
919	38996	59299
920	39045	59267
921	39083	59219
922	39127	59179
923	39171	59139
924	39218	59103
925	39265	59067
926	39314	59034
927	39356	58991
928	39398	58948
929	39442	58909
930	39480	58860
931	39532	58832
932	39569	58782
933	39620	58752
934	39662	58708
935	39707	58670
936	39752	58631
937	39796	58591
938	39837	58546
939	39878	58502
940	39920	58459
941	39966	58421
942	40010	58382
943	40051	58338
944	40089	58289
945	40132	58247
946	40179	58211
947	40233	58185
948	40279	58147
949	40326	58112
950	40371	58074
951	40425	58047
952	40477	58018
953	40522	57980
954	40565	57938
955	40607	57895
956	40648	57851
957	40691	57808
958	40732	57764
959	40776	57724
960	40823	57688
961	40869	57651
962	40915	57613
963	40969	57586
964	41007	57538
965	41049	57494
966	41089	57448
967	41126	57399
968	41176	57366
969	41217	57321
970	41265	57286
971	41302	57236
972	41343	57192
973	41387	57151
974	41430	57110
975	41470	57064
976	41510	57018
977	41555	56980
978	41600	56940
979	41648	56904
980	41688	56859
981	41726	56811
982	41769	56769
983	41810	56724
984	41855	56685
985	41902	56648
986	41952	56616
987	41996	56576
988	42041	56536
989	42085	56496
990	42125	56450
991	42172	56414
992	42214	56371
993	42258	56330
994	42304	56293
995	42354	56260
996	42395	56215
997	42437	56172
998	42478	56127
999	42523	56089
1000	42565	56045
1001	42618	56016
1002	42660	55973
1003	42709	55939
1004	42754	55900
1005	42796	55856
1006	42843	55819
1007	42886	55778
1008	42934	55742
1009	42981	55705
1010	43029	55670
1011	43086	55646
1012	43125	55599
1013	43171	55560
1014	43222	55529
1015	43263	55484
1016	43302	55437
1017	43340	55389
1018	43380	55342
1019	43435	55316
1020	43486	55284
1021	43529	55242
1022	43572	55200
1023	43619	55163
1024	43659	55117
1025	43703	55076
1026	43746	55034
1027	43786	54988
1028	43834	54953
1029	43871	54902
1030	43909	54855
1031	43963	54826
1032	44009	54788
1033	44052	54745
1034	44092	54700
1035	44131	54652
1036	44168	54603
1037	44207	54556
1038	44245	54508
1039	44288	54465
1040	44334	54428
1041	44377	54386
1042	44426	54350
1043	44465	54303
1044	44507	54260
1045	44545	54212
1046	44585	54166
1047	44629	54126
1048	44670	54081
1049	44715	54041
1050	44761	54003
1051	44820	53980
1052	44865	53940
1053	44912	53903
1054	44953	53859
1055	44993	53812
1056	45039	53774
1057	45083	53733
1058	45136	53704
1059	45185	53668
1060	45233	53632
1061	45277	53590
1062	45314	53542
1063	45364	53507
1064	45407	53465
1065	45450	53423
1066	45495	53383
1067	45542	53345
1068	45586	53305
1069	45628	53262
1070	45667	53214
1071	45714	53177
1072	45754	53131
1073	45801	53093
1074	45855	53064
1075	45900	53024
1076	45953	52993
1077	46002	52958
1078	46053	52924
1079	46096	52883
1080	46142	52843
1081	46189	52806
1082	46231	52763
1083	46270	52716
1084	46321	52682
1085	46363	52639
1086	46405	52596
1087	46452	52557
1088	46497	52517
1089	46535	52470
1090	46576	52425
1091	46620	52384
1092	46665	52344
1093	46710	52303
1094	46749	52257
1095	46793	52215
1096	46840	52177
1097	46880	52132
1098	46919	52085
1099	46963	52044
1100	47008	52004
1101	47059	51970
1102	47108	51934
1103	47151	51892
1104	47203	51859
1105	47252	51823
1106	47301	51787
1107	47349	51750
1108	47392	51708
1109	47435	51666
1110	47490	51636
1111	47535	51596
1112	47580	51556
1113	47637	51528
1114	47680	51486
1115	47730	51451
1116	47773	51409
1117	47820	51370
1118	47862	51326
1119	47906	51285
1120	47952	51245
1121	47993	51201
1122	48038	51160
1123	48083	51120
1124	48124	51075
1125	48174	51040
1126	48220	51001
1127	48269	50965
1128	48318	50929
1129	48368	50894
1130	48425	50866
1131	48469	50824
1132	48516	50786
1133	48563	50747
1134	48607	50706
1135	48665	50679
1136	48721	50649
1137	48766	50608
1138	48810	50567
1139	48856	50527
1140	48901	50487
1141	48949	50449
1142	48991	50405
1143	49031	50360
1144	49071	50314
1145	49128	50285
1146	49183	50255
1147	49229	50215
1148	49270	50170
1149	49314	50129
1150	49357	50086
1151	49405	50048
1152	49449	50006
1153	49490	49962
1154	49533	49919
1155	49569	49869
1156	49611	49826
1157	49655	49784
1158	49697	49740
1159	49745	49702
1160	49791	49662
1161	49835	49620
1162	49875	49575
1163	49921	49535
1164	49965	49494
1165	50007	49449
1166	50047	49404
1167	50088	49359
1168	50133	49319
1169	50175	49275
1170	50218	49231
1171	50261	49189
1172	50310	49152
1173	50357	49113
1174	50404	49074
1175	50450	49034
1176	50494	48992
1177	50545	48957
1178	50587	48913
1179	50629	48870
1180	50675	48830
1181	50726	48795
1182	50780	48762
1183	50827	48724
1184	50870	48681
1185	50911	48636
1186	50955	48594
1187	50999	48552
1188	51047	48514
1189	51091	48472
1190	51133	48428
1191	51178	48388
1192	51231	48354
1193	51281	48318
1194	51327	48278
1195	51377	48241
1196	51427	48205
1197	51470	48162
1198	51514	48120
1199	51559	48079
1200	51606	48040
1201	51651	47999
1202	51689	47951
1203	51732	47908
1204	51787	47876
1205	51835	47837
1206	51887	47803
1207	51928	47759
1208	51975	47719
1209	52019	47677
1210	52061	47633
1211	52106	47592
1212	52149	47549
1213	52206	47519
1214	52246	47473
1215	52293	47434
1216	52342	47396
1217	52385	47353
1218	52434	47316
1219	52476	47271
1220	52516	47225
1221	52562	47185
1222	52599	47137
1223	52645	47097
1224	52693	47058
1225	52740	47018
1226	52781	46974
1227	52824	46930
1228	52863	46884
1229	52912	46846
1230	52961	46809
1231	53011	46772
1232	53064	46737
1233	53106	46694
1234	53148	46650
1235	53188	46604
1236	53232	46561
1237	53283	46526
1238	53331	46487
1239	53380	46450
1240	53429	46411
1241	53473	46369
1242	53513	46323
1243	53557	46281
1244	53601	46239
1245	53657	46207
1246	53697	46162
1247	53735	46114
1248	53775	46069
1249	53821	46028
1250	53878	45996
1251	53922	45954
1252	53970	45916
1253	54015	45874
1254	54059	45832
1255	54116	45800
1256	54160	45758
1257	54205	45717
1258	54267	45689
1259	54313	45649
1260	54364	45612
1261	54413	45574
1262	54456	45530
1263	54496	45485
1264	54556	45456
1265	54599	45412
1266	54644	45372
1267	54694	45334
1268	54735	45289
1269	54777	45245
1270	54826	45207
1271	54873	45167
1272	54920	45126
1273	54964	45084
1274	55007	45041
1275	55058	45005
1276	55100	44960
1277	55146	44920
1278	55193	44879
1279	55238	44838
1280	55279	44793
1281	55330	44756
1282	55376	44715
1283	55433	44683
1284	55478	44642
1285	55527	44603
1286	55571	44560
1287	55610	44514
1288	55653	44470
1289	55695	44426
1290	55742	44386
1291	55781	44340
