iter	Logloss
0	0.687342182
1	0.6825950972
2	0.6776328024
3	0.6735049283
4	0.6693941865
5	0.6652093142
6	0.6618889218
7	0.6585172042
8	0.6551912586
9	0.6520598164
10	0.6495751971
11	0.6471938019
12	0.6449122266
13	0.6428972858
14	0.6405762103
15	0.638492866
16	0.6364298351
17	0.634444602
18	0.6327624667
19	0.6311132401
20	0.6296416872
21	0.6279538819
22	0.6264642689
23	0.6250833581
24	0.6238664928
25	0.622816367
26	0.6216995118
27	0.6206246907
28	0.6196455095
29	0.6186928162
30	0.6178149547
31	0.6175901602
32	0.6167695968
33	0.6159509262
34	0.6153679635
35	0.6146058233
36	0.6137952376
37	0.6129973692
38	0.6123530671
39	0.6118137786
40	0.6113096048
41	0.6107748076
42	0.6102493988
43	0.6097112783
44	0.6091425901
45	0.6086821944
46	0.6082017446
47	0.6077570459
48	0.6073907058
49	0.6070812554
50	0.6067693434
51	0.6064186563
52	0.6061643422
53	0.6057721362
54	0.60542271
55	0.6050137746
56	0.6047424211
57	0.6046664388
58	0.6045101461
59	0.6040237589
60	0.6037600558
61	0.6034416354
62	0.6030775512
63	0.6028839819
64	0.6027648631
65	0.6025624777
66	0.6023289072
67	0.6021400491
68	0.6019920926
69	0.6018098394
70	0.6015822672
71	0.6014992409
72	0.601257057
73	0.6010448767
74	0.6009575789
75	0.6007397607
76	0.6006381918
77	0.6003904908
78	0.6001823073
79	0.6000493002
80	0.5998798229
81	0.5998431519
82	0.5997356815
83	0.5996036229
84	0.599418462
85	0.5992753507
86	0.5991289855
87	0.5989251608
88	0.5988467857
89	0.5987660828
90	0.5986640807
91	0.5985257296
92	0.5984119768
93	0.5983390414
94	0.5982456431
95	0.5980880666
96	0.597949458
97	0.597819283
98	0.5977491802
99	0.5976814079
100	0.5976180913
101	0.5975216382
102	0.5974240651
103	0.5973802662
104	0.5972227219
105	0.5970825787
106	0.5969537699
107	0.5969167907
108	0.596882635
109	0.5966930009
110	0.596616937
111	0.5966109201
112	0.5965465795
113	0.5964710872
114	0.5963795831
115	0.5963493034
116	0.5961935775
117	0.5960501019
118	0.5959459117
119	0.595875568
120	0.5958190284
121	0.5956745206
122	0.5956312501
123	0.5955845723
124	0.5955065884
125	0.5954627201
126	0.5953878836
127	0.5953317503
128	0.595231175
129	0.5950702294
130	0.5950432218
131	0.5949490147
132	0.594941298
133	0.5949194625
134	0.5948356484
135	0.5948225497
136	0.5948102067
137	0.5947055738
138	0.5946194754
139	0.5945621375
140	0.5945512243
141	0.5944785667
142	0.5944139994
143	0.5943218155
144	0.5942479736
145	0.5941815096
146	0.5941815079
147	0.5941013829
148	0.5939950504
149	0.5938804047
